protein,dish,calories,recipes
beef,beef broccoli,232,https://www.justataste.com/easy-beef-and-broccoli-recipe/
beef,steak,679,https://natashaskitchen.com/pan-seared-steak/
beef,philly cheese steak,270,https://natashaskitchen.com/philly-cheesesteak/
beef,cheese burger,475,https://www.bigoven.com/recipe/bacon-cheeseburger/160437
beef,braised beef noodle soup,362,https://thewoksoflife.com/braised-beef-noodle-soup/
beef,ground beef taco,226,https://www.howsweeteats.com/2019/01/ground-beef-tacos/
beef,mogolian beef,240,https://therecipecritic.com/easy-mongolian-beef/
pork,pork short ribs with garlic,269,https://www.foodiewithfamily.com/easy-garlic-ginger-glazed-sticky-pork/
pork,meat ball pasta,400,https://www.delish.com/cooking/recipe-ideas/recipes/a55764/best-spaghetti-and-meatballs-recipe/
pork,pork belly,320,https://www.recipetineats.com/crispy-slow-roasted-pork-belly/
pork,sausage fried rice,381,https://www.foodnetwork.com/recipes/brian-boitano/fried-rice-with-chinese-sausage-recipe-1918534
pork,dumplings,420,https://tasty.co/recipe/homemade-dumplings
pork,shredded pork w/ mushroom,417,https://www.readyseteat.com/recipes-Shredded-Pork-with-Mushrooms-2512
chicken,chicken noodle soup,87,https://damndelicious.net/2020/01/25/homestyle-chicken-noodle-soup/
chicken,teriyaki chicken ,439,https://cafedelites.com/teriyaki-chicken-recipe/#recipe
chicken,chicken curry,296,https://www.cookingclassy.com/chicken-curry/
chicken,grille chicken sandwich,310,https://thefamilydinnerproject.org/food/easy-grilled-chicken-sandwiches/
chicken,chicken Pad Thai,1131,https://www.cookingclassy.com/chicken-pad-thai/
chicken,fried chicken,320,https://www.foodnetwork.com/recipes/fried-chicken-recipe10-3381583
chicken,buffalo chicken wings,720,https://www.delish.com/cooking/recipe-ideas/recipes/a51133/classic-buffalo-wings-recipe/
chicken,sesame chicken,296,https://www.dinneratthezoo.com/lighter-honey-sesame-chicken/
seafood,boil shrimp,160,https://sevp.ice.gov/opt/#/home
seafood,grilled tilapia,128,https://www.acouplecooks.com/grilled-tilapia/
seafood,pickled tilapia,74,https://www.justapinch.com/recipes/appetizer/seafood-appetizer/pickled-fish.html
seafood,shrimp w. tomato and pepper,211,https://recipes.sparkpeople.com/recipe-detail.asp?recipe=237900
seafood,squid w. pepper,345,https://soupeduprecipes.com/squid-stir-fry/
